xfr_gisid,servicepointid
220270618,"[6000984671, 6000984738, 6000984726, 6000988176, 6000999154, 6000984784, 6000984657, 6000984768, 6000984802, 6000988203]"
220270619,"[6000984712, 6000984628, 6000984593, 6000984573, 6000984644, 6000984600]"
220270620,"[6000998555, 6000998562, 6000991965, 6000992001, 6000991933, 6000991972]"
220270623,"[6000998697, 6000998645, 6000998397, 6000998381, 6000998443, 6000998488, 6000998427, 6000996654, 6000998681, 6000998332, 6000998461, 6000998580, 6000998596, 6000998350, 6000998511]"
220270624,[6000998532]
220270625,"[6000981068, 6000981128, 6000981104, 6000980935, 6000980914, 6000991593, 6000981095, 6000991803, 6000981167, 6000991403, 6000980928, 6000981021, 6001000836, 6000980898, 6000991821, 6000981005, 6000981074, 6000981189, 6000980971, 6000981083, 6000980885, 6000980942]"
220270626,"[6000981068, 6000980935, 6000980928, 6000981083, 6000980885, 6000980914, 6000980898, 6000980971, 6000981189, 6000981005, 6000981104, 6000991403, 6000981128, 6000991593, 6000981021, 6000991803, 6001000836, 6000981074, 6000991821, 6000981167, 6000981095, 6000980942]"
220270627,"[6000980935, 6000981005, 6000981083, 6001000836, 6000991403, 6000980928, 6000980898, 6000980942, 6000981128, 6000991593, 6000981021, 6000980914, 6000981095, 6000981189, 6000981104, 6000980885, 6000981074, 6000991821, 6000980971, 6000981167, 6000981068, 6000991803]"
220270629,"[6001001876, 6000995929, 6000996983, 6001001445, 6000996968]"
220270630,"[6000996968, 6001001445, 6000996983, 6001001876, 6000995929]"
220270631,"[6000996968, 6001001876, 6000995929, 6000996983, 6001001445]"
220270632,"[6000991786, 6001001049]"
220270633,"[6000991786, 6001001049]"
220270634,"[6000991420, 6000991477, 6000991464]"
220270642,"[6000990316, 6003392117]"
220270643,"[6000990316, 6003392117]"
220270644,"[6003392117, 6000990316]"
220270646,"[6003648776, 6000989243, 6000989124, 6000989684, 6000989067, 6000989800, 6000989106, 6000989225, 6003573453, 6000989235, 6000989191, 6000989731, 6000989230, 6000989662, 6003573452]"
220270647,"[6000989270, 6000989153, 6000989139, 6000989382, 6000989184, 6000989502, 6000989257, 6000989456, 6000989300, 6000989410, 6000989516, 6000989527, 6000989328, 6000989427, 6000989494]"
220270648,[6000989540]
220270649,"[6000989587, 6000989600, 6000989558]"
220270652,"[6000989757, 6000989716]"
220270653,"[6000995486, 6000995470, 6000995454, 6000995423, 6000995359, 6000995510, 6000995289, 6000995432, 6000995539, 6000995378, 6000995332, 6001001944, 6000995524, 6000995498, 6000995274, 6000995493]"
220270655,"[6000995562, 6000995546, 6000995249, 6000995190, 6000995301, 6000995155]"
220270656,"[6000995249, 6000995190, 6000995155, 6000995546, 6000995301, 6000995562]"
220270657,"[6000979362, 6000979353]"
220270658,"[6000979353, 6000979362]"
220270659,"[6000979362, 6000979353]"
220270660,"[6001002189, 6003510053, 6001002168, 6001002225, 6001002239, 6001002176, 6001002123, 6001002208, 6001001654, 6001001461]"
220270665,[6000979378]
220270669,"[6000997687, 6000997755, 6002027007]"
220270670,"[6000997673, 6000997657]"
220270671,"[6003395331, 6000997734]"
220270672,"[6000979423, 6000979329, 6000979190, 6000979394, 6000979300, 6003341345, 6000979182, 6000979211, 6000979282, 6000979240, 6000979217, 6000979269, 6000979255]"
220270688,"[6001001824, 6001001844]"
220270689,"[6001001824, 6001001844]"
220270690,"[6001001824, 6001001844]"
220270691,"[6000983606, 6000981264, 6000983166, 6000983181]"
220270692,"[6000983409, 6000983426, 6000983360, 6000983392]"
220270694,"[6000983643, 6000983662]"
220270695,"[6000983533, 6000983623, 6000983303]"
220270696,"[6000983559, 6000983546]"
220270701,"[6000979530, 6000979603, 6000979585, 6000979540, 6000979570, 6000979517]"
220270702,"[6000979449, 6000979463, 6000979488, 6000979429, 6000979503]"
220270704,"[6000991180, 6000991186, 6000991191, 6000991207, 6000991168, 6000991128, 6000991113]"
220430820,[6000999020]
220481980,[6000984145]
220501626,"[6000978531, 6000978567, 6000978614, 6000978557, 6000978547]"
220517338,"[6003565241, 6000989706, 6000989711]"
220527172,[6000999036]
220529264,"[6002035020, 6000984488]"
220529452,[6000990407]
220534889,"[6000999078, 6000999072, 6000991364]"
220534968,"[6003430981, 6003258223]"
220534982,"[6003465929, 6003547689, 6003491218, 6003403818, 6003508063]"
220534989,"[6003512861, 6003465926, 6003446341]"
220547415,[6003326927]
220569347,[6003357670]
220595638,"[6000981223, 6000996448, 6000981252, 6000996398, 6001000364, 6000996430, 6000996407, 6000981239, 6000996385]"
220603575,"[6000990168, 6000990209, 6000989830, 6000990138, 6000990146, 6000990084, 6000990155, 6000990185, 6000990124, 6000989893, 6000990224, 6000990256, 6003484559, 6000989910, 6000990236, 6000990294, 6000990191, 6000990262, 6000990162]"
220609086,[6003388564]
220609092,[6003388564]
220609093,[6003388564]
220614028,"[6001002080, 6003307348]"
310007575,"[6000983249, 6000983455, 6000983237, 6000983187, 6000983464, 6000983264, 6000983470, 6000983482, 6000983288, 6000983198]"
310038852,"[6003558355, 6003368254]"
310059674,[6003454683]
310064740,"[6000983840, 6000984369, 6000984400, 6000984250, 6000984286, 6000984337, 6000983868, 6000984067, 6000984322, 6000983812, 6000999591, 6000984386]"
312045447,[6003555476]
312046667,[6003553270]
312063916,[6003557922]
312170331,[6000990369]
312275673,[6003650569]
312292599,"[6003654545, 6003654546, 6003654548, 6003654547, 6003654549]"
