Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
DT18 ,C0 ,3 ,12.47 ,300.00 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
DT20 ,C1 ,3 ,12.47 ,300.00 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
