Code,NodeA,NodeB,Vnom1,Vnom2,Phases,Xsc(pu),TapMin,TapMax,Subest,Feeder,
Tr(R:DT21-DT21LV) ,DT21 ,DT21LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT22-DT22LV) ,DT22 ,DT22LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT23-DT23LV) ,DT23 ,DT23LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT24-DT24LV) ,DT24 ,DT24LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT25-DT25LV) ,DT25 ,DT25LV ,12.470 ,0.416 ,3 ,0.02260000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT26-DT26LV) ,DT26 ,DT26LV ,12.470 ,0.416 ,3 ,0.02260000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT27-DT27LV) ,DT27 ,DT27LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT28-DT28LV) ,DT28 ,DT28LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT29-DT29LV) ,DT29 ,DT29LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT30-DT30LV) ,DT30 ,DT30LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT31-DT31LV) ,DT31 ,DT31LV ,12.470 ,0.416 ,3 ,0.03290000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT32-DT32LV) ,DT32 ,DT32LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT33-DT33LV) ,DT33 ,DT33LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT34-DT34LV) ,DT34 ,DT34LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT35-DT35LV) ,DT35 ,DT35LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT36-DT36LV) ,DT36 ,DT36LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT37-DT37LV) ,DT37 ,DT37LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT38-DT38LV) ,DT38 ,DT38LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT39-DT39LV) ,DT39 ,DT39LV ,12.470 ,0.416 ,1 ,0.16000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT40-DT40LV) ,DT40 ,DT40LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT41-DT41LV) ,DT41 ,DT41LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT42-DT42LV) ,DT42 ,DT42LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT43-DT43LV) ,DT43 ,DT43LV ,12.470 ,0.416 ,1 ,0.16000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT44-DT44LV) ,DT44 ,DT44LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT45-DT45LV) ,DT45 ,DT45LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT46-DT46LV) ,DT46 ,DT46LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT47-DT47LV) ,DT47 ,DT47LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT48-DT48LV) ,DT48 ,DT48LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT49-DT49LV) ,DT49 ,DT49LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT50-DT50LV) ,DT50 ,DT50LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT51-DT51LV) ,DT51 ,DT51LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT52-DT52LV) ,DT52 ,DT52LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT53-DT53LV) ,DT53 ,DT53LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT54-DT54LV) ,DT54 ,DT54LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT55-DT55LV) ,DT55 ,DT55LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT56-DT56LV) ,DT56 ,DT56LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT57-DT57LV) ,DT57 ,DT57LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT58-DT58LV) ,DT58 ,DT58LV ,12.470 ,0.416 ,1 ,0.16000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT59-DT59LV) ,DT59 ,DT59LV ,12.470 ,0.416 ,1 ,0.16000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT60-DT60LV) ,DT60 ,DT60LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT61-DT61LV) ,DT61 ,DT61LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT62-DT62LV) ,DT62 ,DT62LV ,12.470 ,0.416 ,1 ,0.08000000 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
Tr(R:DT63-DT63LV) ,DT63 ,DT63LV ,12.470 ,0.416 ,1 ,0.05333333 ,1.0300 ,1.0300 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
