Feature_Name
bldg_id
in.battery
in.bedrooms
in.geometry_building_number_units_mf
in.geometry_building_number_units_sfa
in.geometry_stories
in.mechanical_ventilation
in.overhangs
in.solar_hot_water
in.representative_income
in.area_median_income_0-30%
in.area_median_income_100-120%
in.area_median_income_120-150%
in.area_median_income_150%+
in.area_median_income_30-60%
in.area_median_income_60-80%
in.area_median_income_80-100%
in.area_median_income_Not Available
in.ceiling_fan_Standard Efficiency
"in.ceiling_fan_Standard Efficiency, No usage"
in.clothes_dryer_Electric
in.clothes_dryer_Gas
in.clothes_dryer_Propane
in.clothes_dryer_usage_level_100% Usage
in.clothes_dryer_usage_level_120% Usage
in.clothes_dryer_usage_level_80% Usage
in.clothes_washer_EnergyStar
in.clothes_washer_Standard
in.clothes_washer_presence_Yes
in.clothes_washer_usage_level_100% Usage
in.clothes_washer_usage_level_120% Usage
in.clothes_washer_usage_level_80% Usage
in.cooking_range_Electric Induction
in.cooking_range_Electric Resistance
in.cooking_range_Gas
in.cooking_range_Propane
in.cooking_range_usage_level_100% Usage
in.cooking_range_usage_level_120% Usage
in.cooking_range_usage_level_80% Usage
in.cooling_setpoint_60F
in.cooling_setpoint_62F
in.cooling_setpoint_65F
in.cooling_setpoint_67F
in.cooling_setpoint_68F
in.cooling_setpoint_70F
in.cooling_setpoint_72F
in.cooling_setpoint_75F
in.cooling_setpoint_76F
in.cooling_setpoint_78F
in.cooling_setpoint_80F
in.cooling_setpoint_has_offset_No
in.cooling_setpoint_has_offset_Yes
in.cooling_setpoint_offset_magnitude_0F
in.cooling_setpoint_offset_magnitude_2F
in.cooling_setpoint_offset_magnitude_5F
in.cooling_setpoint_offset_magnitude_9F
in.cooling_setpoint_offset_period_Day Setup
in.cooling_setpoint_offset_period_Day Setup +1h
in.cooling_setpoint_offset_period_Day Setup +2h
in.cooling_setpoint_offset_period_Day Setup +3h
in.cooling_setpoint_offset_period_Day Setup +4h
in.cooling_setpoint_offset_period_Day Setup +5h
in.cooling_setpoint_offset_period_Day Setup -1h
in.cooling_setpoint_offset_period_Day Setup -2h
in.cooling_setpoint_offset_period_Day Setup -3h
in.cooling_setpoint_offset_period_Day Setup -4h
in.cooling_setpoint_offset_period_Day Setup -5h
in.cooling_setpoint_offset_period_Day Setup and Night Setback
in.cooling_setpoint_offset_period_Day Setup and Night Setback +1h
in.cooling_setpoint_offset_period_Day Setup and Night Setback +2h
in.cooling_setpoint_offset_period_Day Setup and Night Setback +3h
in.cooling_setpoint_offset_period_Day Setup and Night Setback +4h
in.cooling_setpoint_offset_period_Day Setup and Night Setback +5h
in.cooling_setpoint_offset_period_Day Setup and Night Setback -1h
in.cooling_setpoint_offset_period_Day Setup and Night Setback -2h
in.cooling_setpoint_offset_period_Day Setup and Night Setback -3h
in.cooling_setpoint_offset_period_Day Setup and Night Setback -4h
in.cooling_setpoint_offset_period_Day Setup and Night Setback -5h
in.cooling_setpoint_offset_period_Day and Night Setup
in.cooling_setpoint_offset_period_Day and Night Setup +1h
in.cooling_setpoint_offset_period_Day and Night Setup +2h
in.cooling_setpoint_offset_period_Day and Night Setup +3h
in.cooling_setpoint_offset_period_Day and Night Setup +4h
in.cooling_setpoint_offset_period_Day and Night Setup +5h
in.cooling_setpoint_offset_period_Day and Night Setup -1h
in.cooling_setpoint_offset_period_Day and Night Setup -2h
in.cooling_setpoint_offset_period_Day and Night Setup -3h
in.cooling_setpoint_offset_period_Day and Night Setup -4h
in.cooling_setpoint_offset_period_Day and Night Setup -5h
in.cooling_setpoint_offset_period_Night Setback
in.cooling_setpoint_offset_period_Night Setback +1h
in.cooling_setpoint_offset_period_Night Setback +2h
in.cooling_setpoint_offset_period_Night Setback +3h
in.cooling_setpoint_offset_period_Night Setback +4h
in.cooling_setpoint_offset_period_Night Setback +5h
in.cooling_setpoint_offset_period_Night Setback -1h
in.cooling_setpoint_offset_period_Night Setback -2h
in.cooling_setpoint_offset_period_Night Setback -3h
in.cooling_setpoint_offset_period_Night Setback -4h
in.cooling_setpoint_offset_period_Night Setback -5h
in.cooling_setpoint_offset_period_Night Setup
in.cooling_setpoint_offset_period_Night Setup +1h
in.cooling_setpoint_offset_period_Night Setup +2h
in.cooling_setpoint_offset_period_Night Setup +3h
in.cooling_setpoint_offset_period_Night Setup +4h
in.cooling_setpoint_offset_period_Night Setup +5h
in.cooling_setpoint_offset_period_Night Setup -1h
in.cooling_setpoint_offset_period_Night Setup -2h
in.cooling_setpoint_offset_period_Night Setup -3h
in.cooling_setpoint_offset_period_Night Setup -4h
in.cooling_setpoint_offset_period_Night Setup -5h
in.corridor_Double-Loaded Interior
in.corridor_Not Applicable
in.dishwasher_290 Rated kWh
in.dishwasher_318 Rated kWh
in.dishwasher_usage_level_100% Usage
in.dishwasher_usage_level_120% Usage
in.dishwasher_usage_level_80% Usage
in.door_area_20 ft^2
"in.duct_leakage_and_insulation_0% Leakage to Outside, Uninsulated"
"in.duct_leakage_and_insulation_10% Leakage to Outside, R-4"
"in.duct_leakage_and_insulation_10% Leakage to Outside, R-6"
"in.duct_leakage_and_insulation_10% Leakage to Outside, R-8"
"in.duct_leakage_and_insulation_10% Leakage to Outside, Uninsulated"
"in.duct_leakage_and_insulation_20% Leakage to Outside, R-4"
"in.duct_leakage_and_insulation_20% Leakage to Outside, R-6"
"in.duct_leakage_and_insulation_20% Leakage to Outside, R-8"
"in.duct_leakage_and_insulation_20% Leakage to Outside, Uninsulated"
"in.duct_leakage_and_insulation_30% Leakage to Outside, R-4"
"in.duct_leakage_and_insulation_30% Leakage to Outside, R-6"
"in.duct_leakage_and_insulation_30% Leakage to Outside, R-8"
"in.duct_leakage_and_insulation_30% Leakage to Outside, Uninsulated"
in.duct_location_Attic
in.duct_location_Crawlspace
in.duct_location_Garage
in.duct_location_Heated Basement
in.duct_location_Living Space
in.duct_location_Unheated Basement
in.federal_poverty_level_0-100%
in.federal_poverty_level_100-150%
in.federal_poverty_level_150-200%
in.federal_poverty_level_200-300%
in.federal_poverty_level_300-400%
in.federal_poverty_level_400%+
in.federal_poverty_level_Not Available
in.geometry_attic_type_Finished Attic or Cathedral Ceilings
in.geometry_attic_type_Unvented Attic
in.geometry_attic_type_Vented Attic
in.geometry_building_horizontal_location_mf_Left
in.geometry_building_horizontal_location_mf_Middle
in.geometry_building_horizontal_location_mf_Not Applicable
in.geometry_building_horizontal_location_mf_Right
in.geometry_building_horizontal_location_sfa_Left
in.geometry_building_horizontal_location_sfa_Middle
in.geometry_building_horizontal_location_sfa_Right
in.geometry_building_level_mf_Bottom
in.geometry_building_level_mf_Middle
in.geometry_building_level_mf_Top
in.geometry_building_type_recs_Mobile Home
in.geometry_building_type_recs_Multi-Family with 2 - 4 Units
in.geometry_building_type_recs_Multi-Family with 5+ Units
in.geometry_building_type_recs_Single-Family Attached
in.geometry_building_type_recs_Single-Family Detached
in.geometry_floor_area_0-499
in.geometry_floor_area_1000-1499
in.geometry_floor_area_1500-1999
in.geometry_floor_area_2000-2499
in.geometry_floor_area_2500-2999
in.geometry_floor_area_3000-3999
in.geometry_floor_area_4000+
in.geometry_floor_area_500-749
in.geometry_floor_area_750-999
in.geometry_floor_area_bin_0-1499
in.geometry_floor_area_bin_1500-2499
in.geometry_floor_area_bin_2500-3999
in.geometry_floor_area_bin_4000+
in.geometry_foundation_type_Ambient
in.geometry_foundation_type_Heated Basement
in.geometry_foundation_type_Slab
in.geometry_foundation_type_Unheated Basement
in.geometry_foundation_type_Unvented Crawlspace
in.geometry_foundation_type_Vented Crawlspace
in.geometry_garage_1 Car
in.geometry_garage_2 Car
in.geometry_garage_3 Car
in.geometry_stories_low_rise_1
in.geometry_stories_low_rise_2
in.geometry_stories_low_rise_3
in.geometry_stories_low_rise_4+
in.geometry_story_bin_8+
in.geometry_story_bin_<8
"in.geometry_wall_exterior_finish_Aluminum, Light"
"in.geometry_wall_exterior_finish_Brick, Medium/Dark"
"in.geometry_wall_exterior_finish_Shingle, Composition, Medium"
"in.geometry_wall_exterior_finish_Stucco, Light"
"in.geometry_wall_exterior_finish_Vinyl, Light"
"in.geometry_wall_exterior_finish_Wood, Medium/Dark"
in.geometry_wall_type_Brick
in.geometry_wall_type_Concrete
in.geometry_wall_type_Steel Frame
in.geometry_wall_type_Wood Frame
in.has_pv_No
in.has_pv_Yes
in.heating_fuel_Electricity
in.heating_fuel_Fuel Oil
in.heating_fuel_Natural Gas
in.heating_fuel_Other Fuel
in.heating_fuel_Propane
in.heating_setpoint_55F
in.heating_setpoint_60F
in.heating_setpoint_62F
in.heating_setpoint_65F
in.heating_setpoint_67F
in.heating_setpoint_68F
in.heating_setpoint_70F
in.heating_setpoint_72F
in.heating_setpoint_75F
in.heating_setpoint_76F
in.heating_setpoint_78F
in.heating_setpoint_80F
in.heating_setpoint_has_offset_No
in.heating_setpoint_has_offset_Yes
in.heating_setpoint_offset_magnitude_0F
in.heating_setpoint_offset_magnitude_12F
in.heating_setpoint_offset_magnitude_3F
in.heating_setpoint_offset_magnitude_6F
in.heating_setpoint_offset_period_Day
in.heating_setpoint_offset_period_Day +1h
in.heating_setpoint_offset_period_Day +2h
in.heating_setpoint_offset_period_Day +3h
in.heating_setpoint_offset_period_Day +4h
in.heating_setpoint_offset_period_Day +5h
