Extra_Feature_Names
"in.windows_double, clear, non-metal, air, exterior clear storm"
"in.windows_single, clear, metal, exterior clear storm"
"in.windows_single, clear, non-metal, exterior clear storm"
"in.windows_triple, low-e, non-metal, air, l-gain"
