meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000978924,[178922],[0.5034397661114123],[0.16562583399678404],[0.300025822824744],[0.07485965083889194],[2.0],[9.0],[0.0017245986334029615]
6000978937,[183068],[0.8540751081003498],[0.20872752755697158],[0.026631555951502458],[0.44265246451199286],[2.0],[1.0],[0.004709727231340322]
6000979007,[],[],[],[],[],[],[],[]
6000979190,[139488],[1.0940225060800681],[0.4657643813359713],[0.02346521490064385],[0.012184180957786865],[0.0],[5.0],[0.008358835378384484]
6000979211,[263908],[1.1382905331149356],[0.4498352892699007],[0.0005024966710208709],[0.1937929046795646],[5.0],[12.0],[0.011949152013330836]
6000979217,[263908],[1.1706618941800464],[0.19834355509874746],[0.07023793987702694],[0.025277194269175747],[8.0],[10.0],[0.003924820686888292]
6000979240,[35310],[0.5524986486181194],[0.13926070728635093],[0.18004441305292954],[0.06379558371473192],[2.0],[3.0],[0.0017928936273885138]
6000979255,[],[],[],[],[],[],[],[]
6000979269,[110442],[0.6252491763480956],[0.10154827911882959],[0.49455472170744175],[0.2739017472080812],[0.0],[0.0],[0.006573789772884205]
6000979282,[272302],[0.6811638474236956],[0.22992929039919818],[0.003638103174423934],[0.0319431147108313],[2.0],[1.0],[0.0031386600598306957]
6000979300,[339385],[0.9975800923647591],[0.1917138701550271],[0.003650172931749559],[0.046030035835251004],[0.0],[2.0],[0.0032174653765428937]
6000979329,[],[],[],[],[],[],[],[]
6000979394,[],[],[],[],[],[],[],[]
6000979423,[475067],[0.8226054609272819],[0.1819514431812501],[0.1308356051131007],[0.03781558803368643],[1.0],[10.0],[0.003103380843145502]
6000979429,[75910],[0.9674812044934278],[0.3684108962810041],[0.2221464129756485],[0.1097127806160818],[9.0],[10.0],[0.008364009146091103]
6000979449,[173040],[0.7854907463406074],[0.12169815987301368],[0.07723318379516551],[0.11420388670299798],[1.0],[1.0],[0.005163437385025689]
6000979463,[],[],[],[],[],[],[],[]
6000979488,[301424],[0.8289027214451571],[0.4264639102169889],[0.031742875115020164],[0.036315854554649175],[1.0],[0.0],[0.003224532665781683]
6000979503,[294164],[1.0773944531081339],[0.18810169767048668],[0.04665557386952606],[0.10275437257923507],[1.0],[2.0],[0.008555994966836797]
6000979517,[43442],[0.7621665448557157],[0.19177949415252293],[0.03511714964323455],[0.11057269470076211],[0.0],[1.0],[0.003518871898246666]
6000979530,[458439],[0.9402238846821049],[0.1365380689076956],[0.038592994747551894],[0.16211629536156094],[2.0],[0.0],[0.004879685501187781]
6000979570,[437744],[0.6680358674596223],[0.16207466042350202],[0.044715372179256745],[0.4286491552444131],[2.0],[1.0],[0.003856252820105659]
6000979585,[487330],[0.6727182406228588],[0.3190915971352492],[0.1318746299060262],[0.2362729201434867],[1.0],[5.0],[0.021421031308710384]
